('Thigpen ', 'Bay Springs', '31.95376472', '-89.23450472')
('Napaskiak', 'Napaskiak', '60.70369056', '-161.7767367')
('Wood Cty/Gill Robb Wilson ', 'Parkersburg', '39.34510333', '-81.43920194')
('Park Rapids Municipal', 'Park Rapids', '46.90062583', '-95.07313278')
('Park Falls Municipal', 'Park Falls', '45.95502361', '-90.42441806')
('Clinton Cty', 'Plattsburgh', '44.68751861', '-73.52452306')
('Portland Municipal', 'Portland', '40.45076167', '-84.99007917')
('Pellston Regional  of Emmet County', 'Pellston', '45.5709275', '-84.796715')
('St Clair County', 'Pell City', '33.55883333', '-86.24905556')
('Pembina Municipal', 'Pembina', '48.9425', '-97.24083333')
('Palmdale Production Flight', 'Palmdale', '34.62938889', '-118.0845528')
('Greater Portsmouth Regional', 'Portsmouth', '38.84047', '-82.84731361')
('Pompano Beach Airpark', 'Pompano Beach', '26.24713889', '-80.11105556')
('Plattsmouth Municipal', 'Plattsmouth', '40.95025', '-95.91788889')
('Metropolitan', 'Palmer', '42.22328722', '-72.31138694')
('Plymouth Municipal', 'Plymouth', '35.80843944', '-76.75927694')
('Ralph Wenz ', 'Pinedale', '42.79549917', '-109.8070944')
('Ponca City Municipal', 'Ponca City', '36.73058417', '-97.09976833')
('Northeast Philadelphia', 'Philadelphia', '40.08194417', '-75.01058667')
('Princeton Municipal', 'Princeton', '45.55986778', '-93.60821611')
('Princeton Municipal', 'Princeton', '45.20066667', '-67.56438889')
('Pilot Point', 'Pilot Point', '57.58038056', '-157.5674444')
('Pensacola Regional', 'Pensacola', '30.47330556', '-87.18744444')
('Brackett ', 'La Verne', '34.09164833', '-117.7817803')
('Poplar Bluff Municipal', 'Poplar Bluff', '36.77394444', '-90.32484722')
('Pocahontas Municipal', 'Pocahontas', '42.74280556', '-94.64730556')
('Dutchess Cty', 'Poughkeepsie', '41.62661111', '-73.88411111')
('Powell Muni', 'Powell', '44.86797222', '-108.793')
('Perry Lefors ', 'Pampa', '35.61298806', '-100.9962608')
('Prospect Creek', 'Prospect Creek', '66.81288139', '-150.6437925')
('Tri City', 'Parsons', '37.33125778', '-95.50900667')
('Pago Pago International', 'Pago Pago', '14.33102278', '-170.7105258')
('La Porte Municipal', 'La Porte', '41.57276194', '-86.73413139')
('Pittsfield Penstone Municipal', 'Pittsfield', '39.63885556', '-90.77843111')
('Northern Maine Regional', 'Presque Isle', '46.68896', '-68.04479972')
('Trent Lott International', 'Pascagoula', '30.46278111', '-88.52922778')
('Pipestone Municipal', 'Pipestone', '43.98330333', '-96.30031083')
('Fajardo Harbor Seaplane Base', 'Fajardo', '18.339675', '-65.62460583')
('Paso Robles Municipal', 'Paso Robles', '35.67288611', '-120.6270558')
('Ernest A. Love ', 'Prescott', '34.65447222', '-112.4195833')
('Edgar County', 'Paris', '39.70015944', '-87.66961861')
('Greenville Municipal', 'Greenville', '31.84540222', '-86.61044583')
('Perry Municipal', 'Perry', '41.82801306', '-94.15990361')
('Cox ', 'Paris', '33.63660667', '-95.45073194')
('Mid-State', 'Philipsburg', '40.88439139', '-78.08734167')
('Tri-Cities', 'Pasco', '46.26468028', '-119.1190292')
('Mercedita', 'Ponce', '18.00830278', '-66.56301194')
('Pittsfield Municipal', 'Pittsfield', '42.42684667', '-73.29292806')
('James C. Johnson Petersburg', 'Petersburg', '56.80165194', '-132.9452781')
('New River Valley', 'Dublin', '37.13734528', '-80.67848167')
('Pease International Tradeport', 'Portsmouth', '43.07795889', '-70.82327333')
('Palestine Municipal', 'Palestine', '31.77969444', '-95.70630556')
('Palm Springs International', 'Palm Springs', '33.82921556', '-116.5062531')
('Palacios Municipal', 'Palacios', '28.72751778', '-96.2509675')
('Dinwiddie County', 'Petersburg', '37.18375833', '-77.50738889')
('Potsdam Muni-Damon ', 'Potsdam', '44.67666917', '-74.94844639')
('Port Heiden', 'Port Heiden', '56.95943333', '-158.6318208')
('Oakland-Pontiac', 'Pontiac', '42.66520389', '-83.41870917')
('Harry P. Williams Memorial', 'Patterson', '29.71081917', '-91.33971778')
('Atkinson Municipal', 'Pittsburg', '37.44855556', '-94.73133333')
('Pratt Industrial', 'Pratt', '37.7000175', '-98.7462025')
('Platinum', 'Platinum', '59.01135611', '-161.8196661')
('Porterville Municipal', 'Porterville', '36.02960778', '-119.0627311')
('Pottstown Limerick', 'Pottstown', '40.23957167', '-75.55662528')
('Pueblo Memorial', 'Pueblo', '38.28908722', '-104.4965722')
('Carbon County', 'Price', '39.61391556', '-110.7514183')
('Pullman/Moscow Regional', '"Pullman/Moscow,ID"', '46.74386111', '-117.1095833')
('Platteville Municipal', 'Platteville', '42.68935583', '-90.44439278')
('Provincetown Municipal', 'Provincetown', '42.07199833', '-70.22137667')
('Theodore F Green State', 'Providence', '41.72399917', '-71.42822111')
('Placerville', 'Placerville', '38.72421806', '-120.753325')
('Hampton Roads Executive', 'Portsmouth', '36.78014889', '-76.44883472')
('Pauls Valley Municipal', 'Pauls Valley', '34.71105361', '-97.22321694')
('Provo Muni', 'Provo', '40.21919444', '-111.7233611')
('Hale County', 'Plainview', '34.16814722', '-101.7173361')
('Wiley Post', 'Oklahoma City', '35.53455', '-97.64721556')
('Pine River Regional', 'Pine River', '46.7247875', '-94.3817')
('Sher-Wood', 'Plentywood', '48.79030583', '-104.533845')
('McGregor Exectuive ', 'Waco', '31.48491667', '-97.31652778')
('Palwaukee', 'Chicago/Wheeling/Prospect Heights', '42.11418083', '-87.90148083')
('Portland International Jetport', 'Portland', '43.64616667', '-70.30875')
('Bremerton National', 'Bremerton', '47.49275361', '-122.7624286')
('Perry-Houston Couty', 'Perry', '32.51058333', '-83.76733333')
('Pageland', 'Pageland', '34.74213889', '-80.34519444')
('Plymouth Municipal', 'Plymouth', '41.90902444', '-70.72878778')
('Perryton Ochiltree County', 'Perryton', '36.41200333', '-100.7517883')
('Presque Isle County', 'Rogers City', '45.40709667', '-83.81288556')
('Littlefield Municipal', 'Littlefield', '33.92395306', '-102.3866831')
('City of Tulia/Swisher County Municipal', 'Tulia', '34.56682472', '-101.7814611')
('San Juan Pueblo', 'Espanola', '36.02502306', '-106.0464114')
('Reserve', 'Reserve', '33.70005472', '-108.8506214')
('Boonville', 'Boonville', '39.0126775', '-123.3827864')
('Brownsville', 'Brownsville', '39.45544417', '-121.2913511')
('Levelland Municipal', 'Levelland', '33.54980833', '-102.3727333')
('Dinsmore', 'Dinsmore', '40.49291944', '-123.5997589')
('Terry County', 'Brownfield', '33.173675', '-102.1926208')
('Sequoia ', 'Visalia', '36.44856139', '-119.3190056')
('Portales Municipal', 'Portales', '34.14547222', '-103.4103333')
('Springerville Babbitt ', 'Springerville', '34.1286575', '-109.3114756')
('Carrizozo Municipal', 'Carrizozo', '33.64886139', '-105.895685')
('Floydada Municipal', 'Floydada', '34.00230056', '-101.330435')
('Springer Municipal', 'Springer', '36.32697806', '-104.6197117')
('Beaver Municipal', 'Beaver', '36.79891472', '-100.5298708')
('Firebaugh', 'Firebaugh', '36.85998861', '-120.4644675')
('Franklin ', 'Franklin', '38.30491306', '-121.4296736')
('Dimmitt Municipal', 'Dimmitt', '34.56673556', '-102.3226947')
('Santa Rosa Municipal', 'Santa Rosa', '34.93442472', '-104.643065')
('Georgetown', 'Georgetown', '38.92111389', '-120.8647944')
('Pine Mountain Lake', 'Groveland', '37.86166667', '-120.1778889')
('Hayfork', 'Hayfork', '40.54708833', '-123.1816953')
('Mendota', 'Mendota', '36.75800528', '-120.3712794')
('Paradise Skypark', 'Paradise', '39.70960639', '-121.6163617')
('Rio Linda', 'Rio Linda', '38.67601389', '-121.4455092')
('Ruth', 'Ruth', '40.21125917', '-123.2975231')
('South County  of Santa Clara Co', 'San Martin', '37.08158611', '-121.5968056')
('John H Batten ', 'Racine', '42.76119139', '-87.81389806')
('Riverside Municipal', 'Riverside', '33.95187528', '-117.4451017')
('Rapid City Regional', 'Rapid City', '44.04532139', '-103.0573708')
('Redbird', 'Dallas', '32.68086111', '-96.86819444')
('Bassett Municipal', 'Bassett', '42.56966667', '-99.56836111')
('Roseburg Regional', 'Roseburg', '43.23878306', '-123.3558617')
('Red Bluff Municipal', 'Red Bluff', '40.15065667', '-122.2522903')
('Walterboro Municipal', 'Walterboro', '32.92052778', '-80.64125')
('Ruby', 'Ruby', '64.72721556', '-155.4698886')
('Ellsworth AFB', 'NA', '44.145094', '-103.103567')
('Fulton County', 'Rochester', '41.06554833', '-86.18170444')
('Rusk County', 'Ladysmith', '45.49825694', '-91.00186361')
('Redding Municipal', 'Redding', '40.50898361', '-122.2934019')
('"Reading Muni,Gen Carl A Spaatz"', 'Reading', '40.3785', '-75.96525')
('Red Oak Municipal', 'Red Oak', '41.01052778', '-95.25986111')
('Roberts ', 'Redmond', '44.25406722', '-121.1499633')
('Grand Forks AFB', 'NA', '47.961167', '-97.401167')
('Raleigh-Durham International', 'Raleigh', '35.87763889', '-78.78747222')
('Red Devil', 'Red Devil', '61.78764333', '-157.3479344')
('Red Lodge', 'Red Lodge', '45.18744472', '-109.2673778')
('Greater Rockford', 'Rockford', '42.19536389', '-89.09721111')
('Refugio-Rooke ', 'Refugio', '28.29361694', '-97.32304833')
('Red Wing Municipal', 'Red Wing', '44.58935611', '-92.48496889')
('Rhinelander-Oneida County', 'Rhinelander', '45.63119306', '-89.46745361')
('Reid-Hillview of Santa Clara Co', 'San Jose', '37.33287306', '-121.8197947')
('Richmond International', 'Richmond', '37.50516667', '-77.31966667')
('Richmond Municipal', 'Richmond', '39.75721528', '-84.84282')
('Richfield Muni', 'Richfield', '38.73643611', '-112.0989444')
('Garfield County Regional', 'Rifle', '39.526315', '-107.7269403')
('Rancho Murieta', 'Rancho Murieta', '38.4887975', '-121.1024447')
('March ', 'Riverside', '33.88057333', '-117.2594836')
('Riverton Regional', 'Riverton', '43.064235', '-108.4598411')
('Knox County Regional', 'Rockland', '44.06008333', '-69.09925')
('Aransas County', 'Rockport', '28.08677778', '-97.04461111')
('Robert S Kerr', 'Poteau', '35.02162639', '-94.6212525')
('Rock Springs-Sweetwater County', 'Rock Springs', '41.5942175', '-109.0651928')
('Rockwood Municipal', 'Rockwood', '35.922295', '-84.68966278')
('Richland', 'Richland', '46.305635', '-119.3041853')
('Griffis Airpark', 'Rome', '43.23379861', '-75.40703333')
('Richard B Russell', 'Rome', '34.35060111', '-85.15801389')
('Rampart', 'Rampart', '65.50786222', '-150.1428047')
('Brooks ', 'Marshall', '42.25118111', '-84.9554525')
('Warren County Memorial', 'McMinnville', '35.69870944', '-85.84381722')
('New Richmond Municipal', 'New Richmond', '45.14831139', '-92.53806139')
('Ramona', 'Ramona', '33.038905', '-116.9136392')
('Reno/Tahoe International', 'Reno', '39.49857611', '-119.7680647')
('Renton Municipal', 'Renton', '47.49313889', '-122.21575')
('Cleveland Municipal', 'Cleveland', '33.76114056', '-90.75787528')
('Roanoke Regional/ Woodrum ', 'Roanoke', '37.32546833', '-79.97542833')
("Greater Rochester Int'l", 'Rochester', '43.11886611', '-77.67238389')
('Rogers Municipal-Carter ', 'Rogers', '36.37229667', '-94.10686972')
('Prachinburi', 'NA', '14.078333', '101.378334')
('Babelthoup/Koror', 'NA', '7.367222', '134.544167')
('Rush City Regional', 'Rush City', '45.69801389', '-92.95298972')
('Roswell Industrial Air Center', 'Roswell', '33.30155556', '-104.5305556')
('Roseau Municipal', 'Roseau', '48.85603806', '-95.69703861')
('Belleville Municipal', 'Belleville', '39.81790861', '-97.659625')
("Rice Lake Regional-Carl's ", 'Rice Lake', '45.41809056', '-91.77365194')
('Roundup', 'Roundup', '46.47357528', '-108.5576333')
('Roben-Hood', 'Big Rapids', '43.72263278', '-85.50407333')
('Window Rock', 'Window Rock', '35.65205556', '-109.0673889')
('Merrill Municipal', 'Merrill', '45.19927083', '-89.71143389')
('Warroad Intl Swede Carlson ', 'Warroad', '48.94138889', '-95.34838889')
('Russian Mission', 'Russian Mission', '61.77967583', '-161.3194772')
('Russell Municipal', 'Russell', '38.87212222', '-98.81177611')
('Ruston Regional', 'Ruston', '32.51444444', '-92.58833333')
('Rochester International', 'Rochester', '43.90882639', '-92.49798722')
('Robinson Municipal', 'Robinson', '39.01604222', '-87.649775')
('Southwest Florida International', 'Ft. Myers', '26.53616667', '-81.75516667')
('Raton Municipal/Crews ', 'Raton', '36.74152778', '-104.5021833')
('Russellville Municipal', 'Russellville', '35.25914667', '-93.09326611')
('Rugby Municipal', 'Rugby', '48.39035917', '-100.0242739')
('Rowan County', 'Salisbury', '35.64588583', '-80.52029306')
('Rutland State', 'Rutland', '43.52990694', '-72.949615')
('Reidsville', 'Reidsville', '32.05897222', '-82.15172222')
('Mifflin Cty', 'Reedsville', '40.67737417', '-77.62682833')
('Hawkins County', 'Rogersville', '36.45757917', '-82.88503722')
('"Richard Lloyd Jones, Jr."', 'Tulsa', '36.0396275', '-95.984635')
('Redwood Falls Muni', 'Redwood Falls', '44.54720389', '-95.082255')
('Rocky Mount Wilson', 'Rocky Mount', '35.85498861', '-77.89295611')
('Rawlins Muni', 'Rawlins', '41.8055975', '-107.19994')
('Arens ', 'Winamac', '41.09226306', '-86.61287111')
('Rexburg-Madison County', 'Rexburg', '43.83391139', '-111.805105')
('Ryan ', 'Tucson', '32.14308333', '-111.1728611')
('Watertown Municipal', 'Watertown', '43.16963222', '-88.72321222')
('Cobb County-McCollum ', 'Marietta', '34.01315611', '-84.59854472')
('Jasper County', 'Rensselaer', '40.94789861', '-87.18257944')
('Burnett County', 'Siren', '45.8227275', '-92.37250083')
('Ross County', 'Chillicothe', '39.44136778', '-83.02251556')
('Halifax County', 'Roanoke Rapids', '36.43945583', '-77.70934139')
('Conrad', 'Conrad', '48.16863889', '-111.9764722')
('Ashland Muni-Sumner Parker ', 'Ashland', '42.19028361', '-122.6606283')
('Bandon State', 'Bandon', '43.08733083', '-124.4095578')
('Bend Muni', 'Bend', '44.09483333', '-121.2006389')
('Chelan Muni', 'Chelan', '47.86597139', '-119.9427053')
('Albany Municipal', 'Albany', '44.63781639', '-123.0594486')
('Forks', 'Forks', '47.94146583', '-124.3929867')
('Sunriver', 'Sunriver', '43.87633333', '-121.4530556')
('Ione Municipal', 'Ione', '48.70727528', '-117.4126036')
('Sandusky Co', 'Fremont', '41.29570556', '-83.03723056')
('Watford City Municipal', 'Watford City', '47.79569972', '-103.2536992')
('Kalispell City', 'Kalispell', '48.17856944', '-114.3037408')
('International Peace Garden', 'Dunseith', '48.99778194', '-100.0434589')
('Lebanon State', 'Lebanon', '44.529845', '-122.9295336')
('Lopez Island', 'Lopez', '48.48259944', '-122.9368444')
('Cooperstown Municipal', 'Cooperstown', '47.42277361', '-98.10587139')
('City-County', 'Madras', '44.66623139', '-121.1631')
('Plains', 'Plains', '47.47243611', '-114.900135')
('Prineville', 'Prineville', '44.28699389', '-120.9038328')
('Prosser', 'Prosser', '46.212355', '-119.7928122')
('Harvey ', 'Snohomish', '47.90815306', '-122.1054072')
('Siletz Bay State', 'Siletz Bay (Gleneden Beach)', '44.87761139', '-124.0284472')
('Tillamook', 'Tillamook', '45.41824194', '-123.8143839')
('Auburn Municipal', 'Auburn', '47.32815583', '-122.2265092')
('Methow Valley State', 'Winthrop', '48.42070056', '-120.1470264')
('Libby', 'Libby', '48.28384528', '-115.4902453')
('Kenmore Air Harbor Inc', 'Kenmore', '47.75482', '-122.2592931')
('Stanford', 'Stanford', '47.14718944', '-110.2299289')
('Homedale Municipal', 'Homedale', '43.61488056', '-116.9215372')
('Nampa Muni', 'Nampa', '43.58133333', '-116.5230556')
('Orofino Municipal', 'Orofino', '46.49129139', '-116.2768061')
('Lincoln', 'Lincoln', '46.97494083', '-112.6447606')
('Othello Muni', 'Othello', '46.79486278', '-119.0802875')
('Edgar G Obie', 'Chinook', '48.59194444', '-109.2488889')
('St Maries Municipal', 'St Maries', '47.32768722', '-116.5773906')
('Kamiah Municipal', 'Kamiah', '46.21934028', '-116.0134736')
('Idaho County', 'Grangeville', '45.94255806', '-116.1234158')
('Shoshone County', 'Kellogg', '47.54769889', '-116.1885008')
('Big Sky ', 'Culbertson', '48.15333333', '-104.5038889')
('Weiser Municipal', 'Weiser', '44.20683056', '-116.9623869')
('Craigmont Municipal', 'Craigmont', '46.24710917', '-116.4801447')
('Cle Elum Municipal', 'Cle Elum', '47.18317583', '-120.884525')
('Whitman County Memorial', 'Colfax', '46.8584975', '-117.4137964')
('Anderson ', 'Brewster', '48.10486806', '-119.7206128')
('Shively ', 'Saratoga', '41.44485944', '-106.8235264')
('Sacramento Executive', 'Sacramento', '38.51252389', '-121.4934689')
('Safford Regional', 'Safford', '32.85331278', '-109.6349708')
('Santa Fe Municipal', 'Santa Fe', '35.61677778', '-106.0881389')
('San Diego International-Lindbergh ', 'San Diego', '32.73355611', '-117.1896567')
('Sparta Community-Hunter ', 'Sparta', '38.14893833', '-89.69870972')
('San Antonio International', 'San Antonio', '29.53369444', '-98.46977778')
('Savannah International', 'Savannah', '32.12758333', '-81.20213889')
('Sawyer', 'Gwinn', '46.35361111', '-87.39583222')
('Staples Municipal', 'Staples', '46.38087944', '-94.80660167')
('Santa Barbara Municipal', 'Santa Barbara', '34.42621194', '-119.8403733')
('San Bernardino International', 'San Bernardino', '34.09535361', '-117.2348742')
('Sheboygan County Memorial', 'Sheboygan', '43.76949444', '-87.85158944')
('South Bend Regional', 'South Bend', '41.70895361', '-86.31847417')
('Emanuel County', 'Swainsboro', '32.60825', '-82.36869444')
('San Luis Obispo Co-McChesney ', 'San Luis Obispo', '35.23705806', '-120.6423931')
('Steamboat Springs', 'Steamboat Springs', '40.51625944', '-106.8663006')
('Blue Earth Municipal', 'Blue Earth', '43.59534389', '-94.09284833')
('Shelby', 'Shelby', '48.54125278', '-111.8720722')
('Salisbury-Ocean City: Wicomico Regional', 'Salisbury', '38.34052611', '-75.51028806')
('Scribner State', 'Scribner', '41.61033333', '-96.62986111')
('Deadhorse', 'Deadhorse', '70.19475583', '-148.4651608')
('Merkel Field Sylacauga Municipal ', 'Sylacauga', '33.17183583', '-86.30553778')
('University Park', 'NA', '40.851206', '-77.846302')
('Schenectady Cty', 'Schenectady', '42.85245556', '-73.9288675')
('Stockton Metro', 'Stockton', '37.89426694', '-121.2386203')
('Scammon Bay', 'Scammon Bay', '61.84454111', '-165.5737492')
('Scott Municipal', 'Oneida', '36.45569444', '-84.58575')
('Bison Municipal', 'Bison', '45.51859778', '-102.4671042')
('Canton Municipal', 'Canton', '43.30888889', '-96.571')
('Wilder', 'De Smet', '44.43080278', '-97.56118861')
('Eureka Municipal', 'Eureka', '45.79998111', '-99.6420625')
('Flandreau Municipal', 'Flandreau', '44.00386056', '-96.59310139')
('Hoven Municipal', 'Hoven', '45.25755861', '-99.79783944')
('McLaughlin Municipal', 'McLaughlin', '45.79680833', '-100.7842503')
('Murdo Municipal', 'Murdo', '43.85165639', '-100.7120811')
('Parkston Municipal', 'Parkston', '43.37915361', '-97.97118278')
('Presho Municipal ', 'Presho', '43.90637833', '-100.0370669')
('Shenandoah Municipal', 'Shenandoah', '40.75148167', '-95.41347222')
('Louisville International-Standiford ', 'Louisville', '38.17438889', '-85.736')
('Scottsdale', 'Scottsdale', '33.622875', '-111.9105333')
('Brown  Municipal', 'San Diego', '32.57230556', '-116.98025')
('Sand Point Municipal', 'Sand Point', '55.31502778', '-160.5176944')
('Sidney-Richland Municipal', 'Sidney', '47.70685778', '-104.1925544')
('Seattle-Tacoma Intl', 'Seattle', '47.44898194', '-122.3093131')
('Gillespie ', 'San Diego (El Cajon)', '32.82623111', '-116.9724497')
('Sebring  And Industrial Park', 'Sebring', '27.45640278', '-81.3424')
('Penn Valley', 'Selinsgrove', '40.82052917', '-76.86377611')
('Craig ', 'Selma', '32.34394667', '-86.98780333')
('Clark Field Municipal', 'Stephenville', '32.21532333', '-98.17766722')
('Freeman Municipal', 'Seymour', '38.92355361', '-85.90736556')
('St Charles County Smart ', 'St Charles', '38.92969444', '-90.42996111')
('Sedona', 'Sedona', '34.84862889', '-111.7884614')
('Orlando Sanford', 'Orlando', '28.77764', '-81.23748944')
('Bob Wiley ', 'Winner', '43.39058278', '-99.84256194')
('Felts ', 'Spokane', '47.68281806', '-117.3225583')
('Sanford Regional', 'Sanford', '43.39386111', '-70.70800028')
('San Francisco International', 'San Francisco', '37.61900194', '-122.3748433')
('Suffolk Municipal', 'Suffolk', '36.68235361', '-76.60187333')
('Tri-Township ', 'Savanna', '42.04581972', '-90.10760056')
('North Central State', 'Pawtucket', '41.92076333', '-71.49138139')
('Springfield-Branson Regional', 'Springfield', '37.24432611', '-93.38685806')
('Springfield-Beckley Municipal', 'Springfield', '39.84028194', '-83.84015056')
('St. Augustine', 'St. Augustine', '29.95925', '-81.33975')
('Sugar Land Municipal/Hull ', 'Houston', '29.62225306', '-95.65652889')
('South St.Paul Municipal', 'South St Paul', '44.85713278', '-93.03285389')
('Stuttgart Municipal', 'Stuttgart', '34.60054', '-91.57457417')
('St George Muni', 'St George', '37.09058333', '-113.5930556')
('Skagway', 'Skagway', '59.46006194', '-135.3156636')
('Shenandoah Valley Regional', 'Staunton/Harrisonburg', '38.26384333', '-78.89643806')
('Shungnak', 'Shungnak', '66.88916556', '-157.1505119')
('Shishmaref', 'Shishmaref', '66.24956861', '-166.0895589')
('Sheldon Municipal', 'Sheldon', '43.20839361', '-95.83343306')
('Sanderson ', 'Shelton', '47.23355556', '-123.1475556')
('Sheridan County', 'Sheridan', '44.76919556', '-106.9802794')
('Shreveport Regional', 'Shreveport', '32.4466275', '-93.82559833')
('Shageluk', 'Shageluk', '62.69511944', '-159.5690614')
('Fernando Luis Ribas Dominicci', 'San Juan', '18.45675', '-66.09883333')
('Sikeston Memorial Municipal', 'Sikeston', '36.89888889', '-89.56175')
('Sitka', 'Sitka', '57.04713806', '-135.3615983')
('Sullivan County', 'Sullivan', '39.1147125', '-87.44832917')
('Siskiyou County', 'Montague', '41.78144167', '-122.4681094')
('San Jose International', 'San Jose', '37.36186194', '-121.9290089')
('St Johns Industrial Air Park', 'St Johns', '34.51855556', '-109.37875')
('San Angelo Regional /Mathis ', 'San Angelo', '31.35775', '-100.4963056')
('Luis Munoz Marin International', 'San Juan', '18.43941667', '-66.00183333')
('Beaver Island', 'St James', '45.69227778', '-85.56630556')
('Fairchild AFB', 'NA', '47.615058', '-117.655803')
('Sac City Municipal', 'Sac City', '42.37908333', '-94.97958333')
('Skwentna', 'Skwentna', '61.965295', '-151.1913661')
('Taos Municipal', 'Taos', '36.45819', '-105.6724289')
('Storm Lake Municipal', 'Storm Lake', '42.59719444', '-95.24066667')
('Salt Lake City Intl', 'Salt Lake City', '40.78838778', '-111.9777731')
('McNary Fld', 'Salem', '44.90952778', '-123.0025')
('Smith ', 'Siloam Springs', '36.19060778', '-94.49088306')
('Adirondack', 'Saranac Lake', '44.38531', '-74.20618472')
('Salina Municipal', 'Salina', '38.7914825', '-97.65060333')
('Salem-Leckrone', 'Salem', '38.64287222', '-88.96418528')
('Sleetmute', 'Sleetmute', '61.70931139', '-157.1557008')
('Sulphur Springs Municipal', 'Sulphur Springs', '33.15983333', '-95.62113889')
('Smith ', 'Fort Wayne', '41.14335389', '-85.15277694')
('Somerset-Pulaski County', 'Somerset', '37.05419722', '-84.61494139')
('Sacramento International', 'Sacramento', '38.69542167', '-121.5907669')
('Lemhi County', 'Salmon', '45.12047778', '-113.8820103')
('Santa Monica Municipal', 'Santa Monica', '34.01582194', '-118.4512961')
('Somerset ', 'Somerville', '40.62599083', '-74.67024333')
('Sumter Municipal', 'Sumter', '33.99569444', '-80.3615')
('Santa Maria Pub/Capt G Allan Hancock ', 'Santa Maria', '34.89924833', '-120.4575825')
('John Wayne /Orange Co', 'Santa Ana', '33.67565861', '-117.8682225')
('Savannah Hardin County', 'Savannah', '35.17036', '-88.21587')
('Winston ', 'Snyder', '32.69338667', '-100.9504525')
('Shawnee Municipal', 'Shawnee', '35.35730333', '-96.94282833')
('St. Paul', 'St. Paul', '57.16733333', '-170.2204444')
('Salinas Municipal', 'Salinas', '36.66279222', '-121.6063603')
('Sidney Municipal', 'Sidney', '41.10133333', '-102.9852778')
('Moore County', 'Pinehurst/Southern Pines', '35.23735278', '-79.39116944')
('Seldovia', 'Seldovia', '59.44243917', '-151.7040503')
('Show Low Municipal', 'Show Low', '34.26527194', '-110.0054075')
('Spartanburg Downtown Memorial', 'Spartanburg', '34.91572222', '-81.9565')
('Scappoose Industrial Airpark', 'Scappoose', '45.77250444', '-122.8623611')
('Black Hills-Clyde Ice ', 'Spearfish', '44.48022222', '-103.7768889')
('Albert Whitted Municipal ', 'St. Petersburg', '27.76511111', '-82.62697222')
('Springhill', 'Springhill', '32.98316472', '-93.41081028')
('Capital', 'Springfield', '39.84395194', '-89.67761861')
('Tinian International Airport', 'NA', '14.996111', '145.621384')
('Sheppard AFB/Wichita Falls Municipal', 'Wichita Falls', '33.98879611', '-98.49189333')
('Spencer Municipal', 'Spencer', '43.16552778', '-95.20280556')
('Houston-Gulf', 'Houston', '29.50836111', '-95.05133333')
('Whiteside Co ', 'Sterling Rockfalls', '41.74284139', '-89.67629028')
('San Carlos', 'San Carlos', '37.511855', '-122.2495236')
('Upper Cumberland Regional', 'Sparta', '36.05593278', '-85.5307475')
('Searcy Municipal', 'Searcy', '35.21194639', '-91.737165')
('Sarasota Bradenton International', 'Sarasota', '27.39533333', '-82.55411111')
('Sierra Blanca Regional', 'Ruidoso', '33.46285', '-105.5347508')
('Stony River 2', 'Stony River', '61.789875', '-156.5881861')
('Stinson Municipal', 'San Antonio', '29.3370075', '-98.47114056')
('Malcolm McKinnon', 'Brunswick', '31.1515925', '-81.39134667')
('Shell Lake Municipal', 'Shell Lake', '45.73138139', '-91.92066194')
('St Cloud Regional', 'St Cloud', '45.54532417', '-94.05833667')
('Stevens Point Municipal', 'Stevens Point', '44.54513556', '-89.53028444')
('George M Bryan ', 'Starkville', '33.43381667', '-88.84863806')
('Rosecrans Memorial', 'St Joseph', '39.77194444', '-94.90970556')
('Crosson ', 'Sterling', '40.6152625', '-103.2646556')
('Lambert-St Louis International', 'St Louis', '38.74768694', '-90.35998972')
('St Paul Downtown Holman ', 'St Paul', '44.9344725', '-93.05999861')
('Sonoma Co', 'Santa Rosa', '38.50897694', '-122.8128803')
('Cyril E. King', 'Charlotte Amalie', '18.33730556', '-64.97336111')
('Henry E. Rohlsen ', 'Christiansted', '17.70188889', '-64.79855556')
('Witham ', 'Stuart', '27.18169444', '-80.22108333')
('Stroud Municipal', 'Stroud', '35.78756833', '-96.65862861')
('Door County Cherryland', 'Sturgeon Bay', '44.84366222', '-87.42154111')
('Friedman Memorial', 'Hailey', '43.50484139', '-114.2965903')
('Spirit of St Louis', 'St Louis', '38.66187028', '-90.65123')
('Brunswick County', 'Southport', '33.92925694', '-78.07499167')
('Richard I Bong', 'Superior', '46.6897175', '-92.094655')
('Sioux Gateway ', 'Sioux City', '42.40260333', '-96.38436694')
('Savoonga', 'Savoonga', '63.68639444', '-170.4926361')
('Grant County', 'Silver City', '32.63654694', '-108.1563853')
('Susanville Municipal', 'Susanville', '40.37684111', '-120.5730033')
('Statesville Municipal', 'Statesville', '35.76526389', '-80.95673611')
('Stevens Village', 'Stevens Village', '66.00900528', '-149.0959153')
('Seward', 'Seward', '60.12693833', '-149.4188122')
('Stewart', 'Newburgh', '41.50409361', '-74.10483833')
('Stillwater Regional', 'Stillwater', '36.16025194', '-97.08577028')
('Seward Municipal', 'Seward', '40.86525806', '-97.10931306')
('Avenger ', 'Sweetwater', '32.46736806', '-100.4665508')
('Summersville', 'Summersville', '38.23163889', '-80.87080556')
('Sheldon Point', 'Sheldon Point', '62.52055556', '-164.8477778')
('Soldotna', 'Soldotna', '60.47613889', '-151.0324444')
